Date,Drug,Actual,Forecasted,Error,Abs_Error_Pct,Upper,Lower,Period,MAPE_%
31/05/2015,N02BA (Aspirin ),136,131.04,,,,,Train,
30/06/2015,N02BA (Aspirin ),145.5,132.15,,,,,Train,
31/07/2015,N02BA (Aspirin ),125.5,124.65,,,,,Train,
31/08/2015,N02BA (Aspirin ),133.4,126.15,,,,,Train,
30/09/2015,N02BA (Aspirin ),110.4,118.4,,,,,Train,
31/10/2015,N02BA (Aspirin ),146.2,148.53,,,,,Train,
30/11/2015,N02BA (Aspirin ),145.9,139.45,,,,,Train,
31/12/2015,N02BA (Aspirin ),137,129.73,,,,,Train,
31/01/2016,N02BA (Aspirin ),172.5,113.35,,,,,Train,
29/02/2016,N02BA (Aspirin ),134.2,130.93,,,,,Train,
31/03/2016,N02BA (Aspirin ),148.4,131.91,,,,,Train,
30/04/2016,N02BA (Aspirin ),147.7,117.16,,,,,Train,
31/05/2016,N02BA (Aspirin ),130.55,117.41,,,,,Train,
30/06/2016,N02BA (Aspirin ),117.8,118.52,,,,,Train,
31/07/2016,N02BA (Aspirin ),137.9,111.02,,,,,Train,
31/08/2016,N02BA (Aspirin ),132.7,112.52,,,,,Train,
30/09/2016,N02BA (Aspirin ),116.7,104.77,,,,,Train,
31/10/2016,N02BA (Aspirin ),160.2,134.89,,,,,Train,
30/11/2016,N02BA (Aspirin ),133.85,125.82,,,,,Train,
31/12/2016,N02BA (Aspirin ),132.4,116.1,,,,,Train,
31/01/2017,N02BA (Aspirin ),0,99.71,,,,,Train,
28/02/2017,N02BA (Aspirin ),97,117.3,,,,,Train,
31/03/2017,N02BA (Aspirin ),107.35,118.28,,,,,Train,
30/04/2017,N02BA (Aspirin ),100.5,103.53,,,,,Train,
31/05/2017,N02BA (Aspirin ),99,103.77,,,,,Train,
30/06/2017,N02BA (Aspirin ),119.6,104.88,,,,,Train,
31/07/2017,N02BA (Aspirin ),75.2,97.38,,,,,Train,
31/08/2017,N02BA (Aspirin ),84.4,98.88,,,,,Train,
30/09/2017,N02BA (Aspirin ),88.15,91.13,,,,,Train,
31/10/2017,N02BA (Aspirin ),100.4,121.26,,,,,Train,
30/11/2017,N02BA (Aspirin ),104.5,112.18,,,,,Train,
31/12/2017,N02BA (Aspirin ),115.15,102.46,,,,,Train,
31/01/2018,N02BA (Aspirin ),101.15,86.08,,,,,Train,
28/02/2018,N02BA (Aspirin ),114.65,103.66,,,,,Train,
31/03/2018,N02BA (Aspirin ),122.3,104.64,,,,,Train,
30/04/2018,N02BA (Aspirin ),84.6,89.89,,,,,Train,
31/05/2018,N02BA (Aspirin ),89.4,90.14,,,,,Train,
30/06/2018,N02BA (Aspirin ),86.8,91.25,,,,,Train,
31/07/2018,N02BA (Aspirin ),87.2,83.75,,,,,Train,
31/08/2018,N02BA (Aspirin ),88.3,85.25,,,,,Train,
30/09/2018,N02BA (Aspirin ),86.5,77.5,,,,,Train,
31/10/2018,N02BA (Aspirin ),76.05,107.62,,,,,Train,
30/11/2018,N02BA (Aspirin ),102.15,98.55,,,,,Train,
31/12/2018,N02BA (Aspirin ),84.8,88.83,,,,,Train,
31/01/2019,N02BA (Aspirin ),99.7,72.44,27.26,27.3,,,Test,22.1
28/02/2019,N02BA (Aspirin ),110.2,90.03,20.17,18.3,,,Test,22.1
31/03/2019,N02BA (Aspirin ),83.35,91.01,-7.66,9.2,,,Test,22.1
30/04/2019,N02BA (Aspirin ),88.1,76.26,11.84,13.4,,,Test,22.1
31/05/2019,N02BA (Aspirin ),104.1,76.5,27.6,26.5,,,Test,22.1
30/06/2019,N02BA (Aspirin ),103.2,77.61,25.59,24.8,,,Test,22.1
31/07/2019,N02BA (Aspirin ),92.8,70.11,22.69,24.5,,,Test,22.1
31/08/2019,N02BA (Aspirin ),84.2,71.62,12.58,14.9,,,Test,22.1
30/09/2019,N02BA (Aspirin ),93.5,63.86,29.64,31.7,,,Test,22.1
31/10/2019,N02BA (Aspirin ),134.89,93.99,40.9,30.3,,,Test,22.1
31/01/2020,N02BA (Aspirin ),,106.62,,,147.08,66.17,Forecast,22.1
29/02/2020,N02BA (Aspirin ),,96.9,,,137.36,56.45,Forecast,22.1
31/03/2020,N02BA (Aspirin ),,86.09,,,126.55,45.63,Forecast,22.1
30/04/2020,N02BA (Aspirin ),,102.5,,,142.96,62.05,Forecast,22.1
31/05/2020,N02BA (Aspirin ),,98.84,,,139.3,58.39,Forecast,22.1
30/06/2020,N02BA (Aspirin ),,87.36,,,127.81,46.9,Forecast,22.1
31/07/2020,N02BA (Aspirin ),,90.23,,,130.69,49.77,Forecast,22.1
31/08/2020,N02BA (Aspirin ),,90.99,,,131.44,50.53,Forecast,22.1
30/09/2020,N02BA (Aspirin ),,83,,,123.46,42.55,Forecast,22.1
31/10/2020,N02BA (Aspirin ),,82.81,,,123.26,42.35,Forecast,22.1
30/11/2020,N02BA (Aspirin ),,77.91,,,118.37,37.46,Forecast,22.1
31/12/2020,N02BA (Aspirin ),,109.9,,,150.36,69.44,Forecast,22.1
31/01/2014,N02BE (Paracetamol ),878.03,851.95,,,,,Train,
28/02/2014,N02BE (Paracetamol ),1001.9,945.1,,,,,Train,
31/03/2014,N02BE (Paracetamol ),779.3,893.83,,,,,Train,
30/04/2014,N02BE (Paracetamol ),698.5,739.51,,,,,Train,
31/05/2014,N02BE (Paracetamol ),628.78,642.29,,,,,Train,
30/06/2014,N02BE (Paracetamol ),548.2,548.68,,,,,Train,
31/07/2014,N02BE (Paracetamol ),491.9,523.7,,,,,Train,
31/08/2014,N02BE (Paracetamol ),583.85,594.5,,,,,Train,
30/09/2014,N02BE (Paracetamol ),887.82,865.6,,,,,Train,
31/10/2014,N02BE (Paracetamol ),1856.82,1388,,,,,Train,
30/11/2014,N02BE (Paracetamol ),723.8,1030.92,,,,,Train,
31/12/2014,N02BE (Paracetamol ),1015.66,1184.24,,,,,Train,
31/01/2015,N02BE (Paracetamol ),1044.24,826.02,,,,,Train,
28/02/2015,N02BE (Paracetamol ),953.3,972.37,,,,,Train,
31/03/2015,N02BE (Paracetamol ),1084.85,900.09,,,,,Train,
30/04/2015,N02BE (Paracetamol ),940.17,828.65,,,,,Train,
31/05/2015,N02BE (Paracetamol ),765.9,773.67,,,,,Train,
30/06/2015,N02BE (Paracetamol ),746.8,681.65,,,,,Train,
31/07/2015,N02BE (Paracetamol ),708.83,674.84,,,,,Train,
31/08/2015,N02BE (Paracetamol ),790.8,763.86,,,,,Train,
30/09/2015,N02BE (Paracetamol ),852.1,1045.37,,,,,Train,
31/10/2015,N02BE (Paracetamol ),1574.34,1508.1,,,,,Train,
30/11/2015,N02BE (Paracetamol ),1277.7,1039.54,,,,,Train,
31/12/2015,N02BE (Paracetamol ),1258.35,1343.85,,,,,Train,
31/01/2016,N02BE (Paracetamol ),1476.32,1008.64,,,,,Train,
29/02/2016,N02BE (Paracetamol ),1224.86,1224.07,,,,,Train,
31/03/2016,N02BE (Paracetamol ),1150.7,1157.29,,,,,Train,
30/04/2016,N02BE (Paracetamol ),998.34,1032.86,,,,,Train,
31/05/2016,N02BE (Paracetamol ),997.15,937.44,,,,,Train,
30/06/2016,N02BE (Paracetamol ),760.1,864.11,,,,,Train,
31/07/2016,N02BE (Paracetamol ),652.36,810.46,,,,,Train,
31/08/2016,N02BE (Paracetamol ),753.05,846.28,,,,,Train,
30/09/2016,N02BE (Paracetamol ),1118.7,1094.52,,,,,Train,
31/10/2016,N02BE (Paracetamol ),1617.28,1617.46,,,,,Train,
30/11/2016,N02BE (Paracetamol ),1062.69,1130.51,,,,,Train,
31/12/2016,N02BE (Paracetamol ),1624.34,1350.09,,,,,Train,
31/01/2017,N02BE (Paracetamol ),0,1114.49,,,,,Train,
28/02/2017,N02BE (Paracetamol ),526.35,891.81,,,,,Train,
31/03/2017,N02BE (Paracetamol ),612.5,723.61,,,,,Train,
30/04/2017,N02BE (Paracetamol ),540.2,570.24,,,,,Train,
31/05/2017,N02BE (Paracetamol ),547.94,476.06,,,,,Train,
30/06/2017,N02BE (Paracetamol ),496.1,406.09,,,,,Train,
31/07/2017,N02BE (Paracetamol ),479.35,406.17,,,,,Train,
31/08/2017,N02BE (Paracetamol ),549.3,506.04,,,,,Train,
30/09/2017,N02BE (Paracetamol ),863.75,792.07,,,,,Train,
31/10/2017,N02BE (Paracetamol ),1184.35,1328.17,,,,,Train,
30/11/2017,N02BE (Paracetamol ),867.9,801.44,,,,,Train,
31/12/2017,N02BE (Paracetamol ),1007.18,1058.2,,,,,Train,
31/01/2018,N02BE (Paracetamol ),1134.3,732.54,,,,,Train,
28/02/2018,N02BE (Paracetamol ),1255.37,929.71,,,,,Train,
31/03/2018,N02BE (Paracetamol ),999.12,952.89,,,,,Train,
30/04/2018,N02BE (Paracetamol ),836.04,843.09,,,,,Train,
31/05/2018,N02BE (Paracetamol ),644.65,755.28,,,,,Train,
30/06/2018,N02BE (Paracetamol ),584.3,634.77,,,,,Train,
31/07/2018,N02BE (Paracetamol ),679.35,595.95,,,,,Train,
31/08/2018,N02BE (Paracetamol ),733.8,698.65,,,,,Train,
30/09/2018,N02BE (Paracetamol ),1058.26,982.44,,,,,Train,
31/10/2018,N02BE (Paracetamol ),1129.28,1519.68,,,,,Train,
30/11/2018,N02BE (Paracetamol ),995.2,924.67,,,,,Train,
31/12/2018,N02BE (Paracetamol ),1214,1182.56,,,,,Train,
31/01/2019,N02BE (Paracetamol ),1660.61,879.73,780.88,47,,,Test,12.4
28/02/2019,N02BE (Paracetamol ),1001.21,965.66,35.56,3.6,,,Test,12.4
31/03/2019,N02BE (Paracetamol ),941.1,898.66,42.44,4.5,,,Test,12.4
30/04/2019,N02BE (Paracetamol ),647.65,776.05,-128.4,19.8,,,Test,12.4
31/05/2019,N02BE (Paracetamol ),703.56,690.19,13.37,1.9,,,Test,12.4
30/06/2019,N02BE (Paracetamol ),610,600.32,9.68,1.6,,,Test,12.4
31/07/2019,N02BE (Paracetamol ),649.8,575.47,74.33,11.4,,,Test,12.4
31/08/2019,N02BE (Paracetamol ),518.1,655.08,-136.98,26.4,,,Test,12.4
30/09/2019,N02BE (Paracetamol ),984.48,929.13,55.35,5.6,,,Test,12.4
31/10/2019,N02BE (Paracetamol ),1472.41,1445.38,27.03,1.8,,,Test,12.4
31/01/2020,N02BE (Paracetamol ),,979.29,,,1414.11,544.46,Forecast,12.4
29/02/2020,N02BE (Paracetamol ),,1218.23,,,1653.06,783.4,Forecast,12.4
31/03/2020,N02BE (Paracetamol ),,1042.03,,,1476.86,607.2,Forecast,12.4
30/04/2020,N02BE (Paracetamol ),,1003.17,,,1438,568.34,Forecast,12.4
31/05/2020,N02BE (Paracetamol ),,937.94,,,1372.77,503.12,Forecast,12.4
30/06/2020,N02BE (Paracetamol ),,786.93,,,1221.76,352.11,Forecast,12.4
31/07/2020,N02BE (Paracetamol ),,724.64,,,1159.47,289.82,Forecast,12.4
31/08/2020,N02BE (Paracetamol ),,633.73,,,1068.56,198.91,Forecast,12.4
30/09/2020,N02BE (Paracetamol ),,619.66,,,1054.48,184.83,Forecast,12.4
31/10/2020,N02BE (Paracetamol ),,663.86,,,1098.68,229.03,Forecast,12.4
30/11/2020,N02BE (Paracetamol ),,970.89,,,1405.72,536.06,Forecast,12.4
31/12/2020,N02BE (Paracetamol ),,1482,,,1916.83,1047.18,Forecast,12.4
31/01/2014,N05B (Anxiolytics ),354,352.67,,,,,Train,
28/02/2014,N05B (Anxiolytics ),347,343.07,,,,,Train,
31/03/2014,N05B (Anxiolytics ),232,345.5,,,,,Train,
30/04/2014,N05B (Anxiolytics ),209,228.19,,,,,Train,
31/05/2014,N05B (Anxiolytics ),270,212.84,,,,,Train,
30/06/2014,N05B (Anxiolytics ),323,285.47,,,,,Train,
31/07/2014,N05B (Anxiolytics ),348,324.1,,,,,Train,
31/08/2014,N05B (Anxiolytics ),420,376.66,,,,,Train,
30/09/2014,N05B (Anxiolytics ),399,410.66,,,,,Train,
31/10/2014,N05B (Anxiolytics ),472,417.15,,,,,Train,
30/11/2014,N05B (Anxiolytics ),489,442.16,,,,,Train,
31/12/2014,N05B (Anxiolytics ),492,504.21,,,,,Train,
31/01/2015,N05B (Anxiolytics ),463,414.78,,,,,Train,
28/02/2015,N05B (Anxiolytics ),243,445.71,,,,,Train,
31/03/2015,N05B (Anxiolytics ),208,269.52,,,,,Train,
30/04/2015,N05B (Anxiolytics ),192,197.14,,,,,Train,
31/05/2015,N05B (Anxiolytics ),194,193.94,,,,,Train,
30/06/2015,N05B (Anxiolytics ),217,217.21,,,,,Train,
31/07/2015,N05B (Anxiolytics ),203,223.22,,,,,Train,
31/08/2015,N05B (Anxiolytics ),265.5,237.64,,,,,Train,
30/09/2015,N05B (Anxiolytics ),243.5,258.26,,,,,Train,
31/10/2015,N05B (Anxiolytics ),222,262.07,,,,,Train,
30/11/2015,N05B (Anxiolytics ),228,205.04,,,,,Train,
31/12/2015,N05B (Anxiolytics ),286,246.45,,,,,Train,
31/01/2016,N05B (Anxiolytics ),248,201.76,,,,,Train,
29/02/2016,N05B (Anxiolytics ),239,230.98,,,,,Train,
31/03/2016,N05B (Anxiolytics ),250,236.95,,,,,Train,
30/04/2016,N05B (Anxiolytics ),318,229.02,,,,,Train,
31/05/2016,N05B (Anxiolytics ),275,307.17,,,,,Train,
30/06/2016,N05B (Anxiolytics ),311,302.58,,,,,Train,
31/07/2016,N05B (Anxiolytics ),240,316.05,,,,,Train,
31/08/2016,N05B (Anxiolytics ),275.5,282.22,,,,,Train,
30/09/2016,N05B (Anxiolytics ),307,272.95,,,,,Train,
31/10/2016,N05B (Anxiolytics ),312,318.95,,,,,Train,
30/11/2016,N05B (Anxiolytics ),246,290.55,,,,,Train,
31/12/2016,N05B (Anxiolytics ),257,273.6,,,,,Train,
31/01/2017,N05B (Anxiolytics ),1,180.37,,,,,Train,
28/02/2017,N05B (Anxiolytics ),144,14.58,,,,,Train,
31/03/2017,N05B (Anxiolytics ),165,125.48,,,,,Train,
30/04/2017,N05B (Anxiolytics ),132,140.44,,,,,Train,
